                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8591,                0.77853,                 1.1568,                0.75005,                0.77248,                0.83035,                0.67168,                 0.7849,                0.57987,                 1.0086,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                0.90422,                0.73471,                 1.1565,                0.83824,                0.78701,                0.85127,                0.69306,                0.77043,                0.53725,                0.99385,             1.7815e-05,             1.7815e-05,             1.7815e-05
                      3,                0.87718,                 0.6769,                 1.1238,                0.86078,                0.79061,                0.87045,                0.70851,                0.76079,                0.51728,                0.98525,             2.7262e-05,             2.7262e-05,             2.7262e-05
                      4,                0.88108,                0.66073,                 1.1253,                0.87881,                0.80176,                0.88149,                0.72298,                0.74944,                0.50011,                0.97561,             3.6671e-05,             3.6671e-05,             3.6671e-05
                      5,                0.79108,                0.60794,                 1.0695,                 0.8804,                0.79979,                0.88691,                0.73042,                0.74004,                0.48883,                0.96882,             4.6042e-05,             4.6042e-05,             4.6042e-05
                      6,                0.83261,                0.64415,                 1.0772,                0.86859,                0.81835,                0.89426,                0.74081,                0.72691,                0.48551,                0.95986,             5.5376e-05,             5.5376e-05,             5.5376e-05
                      7,                0.79649,                0.60521,                 1.0523,                0.89827,                0.82188,                0.90449,                0.74927,                0.72483,                0.45489,                0.96065,             6.4672e-05,             6.4672e-05,             6.4672e-05
                      8,                0.77585,                0.58155,                 1.0391,                0.87485,                0.85895,                0.90705,                0.75861,                0.71439,                0.46074,                0.96353,             7.3931e-05,             7.3931e-05,             7.3931e-05
                      9,                0.79901,                0.55952,                 1.0632,                0.88037,                 0.8539,                 0.9172,                0.75891,                 0.7097,                0.46457,                0.96128,             8.3152e-05,             8.3152e-05,             8.3152e-05
                     10,                0.77192,                0.59768,                  1.069,                0.89689,                0.84592,                0.91587,                 0.7584,                0.71217,                 0.4576,                0.96093,             9.2335e-05,             9.2335e-05,             9.2335e-05
                     11,                0.76706,                0.56366,                 1.0398,                0.90279,                0.83444,                0.90907,                0.74922,                0.72041,                0.45968,                0.96495,             0.00010148,             0.00010148,             0.00010148
                     12,                0.74948,                0.56741,                 1.0366,                 0.9395,                0.86036,                0.92899,                0.77226,                0.68193,                0.43588,                0.94436,             0.00011059,             0.00011059,             0.00011059
                     13,                0.74466,                0.56169,                 1.0398,                0.92043,                0.86443,                0.93256,                0.78059,                0.66486,                 0.4321,                0.93842,             0.00011617,             0.00011617,             0.00011617
                     14,                0.75687,                0.56323,                 1.0298,                0.92189,                0.84906,                0.93333,                0.78385,                0.65055,                0.43416,                0.93546,             0.00011594,             0.00011594,             0.00011594
                     15,                0.72297,                0.55451,                 1.0304,                0.84657,                0.90337,                0.93224,                0.78235,                0.64864,                 0.4428,                0.93889,              0.0001157,              0.0001157,              0.0001157
                     16,                0.71101,                0.54952,                 1.0027,                0.90716,                0.85581,                0.93125,                0.78779,                 0.6364,                0.45728,                0.93387,             0.00011547,             0.00011547,             0.00011547
                     17,                0.72335,                0.56471,                 1.0295,                0.88983,                0.86873,                0.93252,                0.79305,                0.62013,                0.43882,                0.92562,             0.00011523,             0.00011523,             0.00011523
                     18,                0.73469,                0.53863,                 1.0199,                 0.8927,                0.88001,                0.93306,                0.80105,                0.61077,                 0.4258,                0.92407,             0.00011499,             0.00011499,             0.00011499
                     19,                0.68625,                0.52403,                0.99276,                0.91472,                0.87732,                0.93519,                0.80221,                0.60446,                0.40893,                0.91812,             0.00011476,             0.00011476,             0.00011476
                     20,                0.65171,                0.50516,                 1.0065,                0.91043,                0.87815,                0.93501,                0.80032,                0.59625,                 0.4072,                0.90686,             0.00011452,             0.00011452,             0.00011452
                     21,                0.65995,                0.52943,                 1.0034,                0.90344,                0.88257,                 0.9405,                0.81112,                0.59123,                0.40097,                 0.9009,             0.00011429,             0.00011429,             0.00011429
                     22,                0.73032,                0.59118,                 1.0728,                0.90242,                0.88957,                0.94029,                0.81186,                0.58713,                 0.3987,                0.90511,             0.00011405,             0.00011405,             0.00011405
                     23,                0.64317,                0.51657,                 1.0148,                0.89584,                0.90295,                 0.9434,                0.80727,                0.57609,                0.39808,                0.90293,             0.00011382,             0.00011382,             0.00011382
                     24,                0.66437,                0.52007,                 1.0067,                0.91163,                0.88358,                0.94972,                0.82133,                0.57567,                0.38755,                0.90075,             0.00011358,             0.00011358,             0.00011358
                     25,                0.66104,                0.53766,                0.99955,                0.92199,                0.88447,                0.94924,                0.81769,                0.56098,                 0.3876,                0.89143,             0.00011335,             0.00011335,             0.00011335
                     26,                0.65285,                0.50233,                 1.0202,                0.92384,                0.88595,                0.95205,                0.83311,                0.55067,                0.37954,                0.88497,             0.00011311,             0.00011311,             0.00011311
                     27,                0.63785,                0.48705,                0.99143,                0.91539,                0.89231,                0.95306,                0.82882,                0.54241,                0.36269,                0.88138,             0.00011287,             0.00011287,             0.00011287
                     28,                0.63491,                0.49164,                0.99358,                0.93467,                0.89435,                0.95531,                 0.8295,                0.54389,                0.36488,                0.88335,             0.00011264,             0.00011264,             0.00011264
                     29,                0.62228,                0.48835,                0.98338,                0.93439,                0.89777,                0.95586,                0.83184,                0.54432,                0.36818,                0.88613,              0.0001124,              0.0001124,              0.0001124
                     30,                0.62736,                0.49227,                0.99477,                0.93518,                0.90023,                0.95496,                0.82855,                0.54818,                0.37002,                0.88896,             0.00011217,             0.00011217,             0.00011217
                     31,                0.61794,                0.49183,                0.98546,                0.93822,                0.90572,                0.95764,                0.82924,                0.54468,                0.36249,                0.88434,             0.00011193,             0.00011193,             0.00011193
                     32,                0.64716,                0.49486,                0.99078,                0.94372,                0.90533,                 0.9608,                0.83394,                0.52628,                0.35692,                0.88037,              0.0001117,              0.0001117,              0.0001117
                     33,                0.63508,                0.49804,                0.98457,                0.94188,                0.90939,                0.96509,                0.83886,                0.52264,                0.34772,                0.87581,             0.00011146,             0.00011146,             0.00011146
                     34,                0.63265,                0.49436,                0.97615,                0.92658,                0.92102,                0.96078,                0.83654,                0.51799,                0.35404,                0.87061,             0.00011122,             0.00011122,             0.00011122
                     35,                0.58634,                0.47725,                0.98314,                0.92604,                0.91741,                0.96071,                0.84568,                0.50656,                0.35654,                0.86425,             0.00011099,             0.00011099,             0.00011099
                     36,                0.63314,                 0.4906,                0.96861,                0.93229,                 0.9122,                0.96268,                0.84441,                0.51285,                0.34282,                 0.8682,             0.00011075,             0.00011075,             0.00011075
                     37,                0.58636,                0.46531,                0.98147,                 0.9054,                0.93447,                0.96916,                0.85141,                0.51013,                0.34153,                0.86518,             0.00011052,             0.00011052,             0.00011052
                     38,                0.58896,                0.45577,                0.97839,                0.92071,                0.92266,                0.96865,                0.84989,                0.50466,                0.34829,                 0.8626,             0.00011028,             0.00011028,             0.00011028
                     39,                0.59677,                0.46804,                0.98248,                 0.9181,                0.92473,                0.96612,                0.85093,                 0.5021,                0.33751,                0.86342,             0.00011005,             0.00011005,             0.00011005
                     40,                 0.5755,                0.44269,                0.95498,                0.92143,                0.92809,                0.96675,                0.85592,                0.49134,                0.33089,                 0.8581,             0.00010981,             0.00010981,             0.00010981
                     41,                0.57932,                0.43272,                0.95198,                0.95096,                0.91428,                0.96852,                0.85822,                0.47919,                0.32942,                 0.8507,             0.00010958,             0.00010958,             0.00010958
                     42,                0.59705,                0.44844,                0.97213,                0.93007,                0.92301,                0.96606,                0.85839,                 0.4746,                 0.3266,                0.84937,             0.00010934,             0.00010934,             0.00010934
                     43,                0.60729,                0.46967,                0.96242,                0.91078,                0.93209,                0.96163,                0.85301,                0.48868,                0.33478,                0.85298,              0.0001091,              0.0001091,              0.0001091
                     44,                0.56996,                0.44027,                0.95179,                0.93562,                0.91008,                 0.9624,                0.86096,                0.46741,                0.33152,                0.84712,             0.00010887,             0.00010887,             0.00010887
                     45,                0.57317,                0.43875,                0.95424,                0.92697,                0.92744,                0.96394,                0.86426,                0.47125,                0.33151,                0.84697,             0.00010863,             0.00010863,             0.00010863
                     46,                0.55306,                0.41795,                0.93558,                0.92747,                0.92434,                0.96668,                0.86496,                0.46993,                0.32409,                0.84684,              0.0001084,              0.0001084,              0.0001084
                     47,                0.54288,                 0.4278,                0.94284,                0.92872,                 0.9294,                0.96415,                0.86421,                0.46257,                0.31786,                0.84502,             0.00010816,             0.00010816,             0.00010816
                     48,                0.56587,                0.43399,                 0.9643,                0.93061,                 0.9304,                0.96579,                0.86904,                0.47146,                0.32868,                0.84537,             0.00010793,             0.00010793,             0.00010793
                     49,                0.59395,                 0.4476,                0.94108,                0.92123,                0.92243,                0.96492,                0.86591,                0.46787,                0.32874,                0.84461,             0.00010769,             0.00010769,             0.00010769
                     50,                0.53728,                0.39733,                0.92085,                0.93138,                0.91412,                0.96391,                0.86816,                0.46127,                0.32558,                0.84242,             0.00010745,             0.00010745,             0.00010745
                     51,                0.53324,                0.41027,                0.94066,                  0.924,                0.92393,                0.96622,                0.87051,                0.47017,                0.31919,                0.84373,             0.00010722,             0.00010722,             0.00010722
                     52,                 0.5421,                0.42561,                0.95577,                0.94075,                0.91957,                0.96656,                0.87323,                 0.4636,                0.31377,                0.84147,             0.00010698,             0.00010698,             0.00010698
                     53,                0.54291,                0.44093,                0.95154,                 0.9347,                0.93055,                0.96675,                0.87438,                0.45537,                0.30846,                0.83724,             0.00010675,             0.00010675,             0.00010675
                     54,                0.55333,                0.42835,                0.95105,                0.94083,                0.91423,                0.96686,                0.87488,                 0.4491,                 0.3081,                0.83555,             0.00010651,             0.00010651,             0.00010651
                     55,                0.56718,                0.44098,                0.95931,                0.94073,                0.91528,                0.96606,                0.87718,                0.44656,                0.30445,                0.83393,             0.00010628,             0.00010628,             0.00010628
                     56,                0.54477,                0.43294,                0.94158,                0.93983,                0.91603,                0.96553,                0.87175,                0.44447,                0.30386,                0.83209,             0.00010604,             0.00010604,             0.00010604
                     57,                0.54613,                 0.4263,                 0.9367,                0.94491,                0.92017,                0.96586,                0.87485,                0.43559,                0.30352,                0.83272,             0.00010581,             0.00010581,             0.00010581
                     58,                0.53342,                0.40293,                0.92071,                0.94029,                0.92769,                0.96185,                0.87007,                0.43215,                0.30146,                 0.8317,             0.00010557,             0.00010557,             0.00010557
                     59,                0.57028,                0.41965,                0.93231,                0.94414,                0.91499,                0.96693,                0.87325,                0.43422,                0.29734,                0.83179,             0.00010533,             0.00010533,             0.00010533
                     60,                 0.5343,                0.41069,                0.94503,                0.95373,                0.93114,                0.96653,                0.87588,                 0.4314,                0.29167,                0.83216,              0.0001051,              0.0001051,              0.0001051
                     61,                0.51504,                0.40921,                0.91722,                   0.95,                0.93217,                0.96581,                 0.8787,                0.43217,                0.29258,                 0.8313,             0.00010486,             0.00010486,             0.00010486
                     62,                0.51687,                0.39467,                0.92885,                0.94532,                0.92397,                0.96251,                0.87881,                0.42608,                0.29221,                0.82916,             0.00010463,             0.00010463,             0.00010463
                     63,                0.53262,                 0.4056,                 0.9251,                0.95765,                0.92346,                0.96359,                0.88004,                0.42569,                0.28844,                0.82733,             0.00010439,             0.00010439,             0.00010439
                     64,                 0.5278,                0.39986,                0.93235,                0.95125,                0.93157,                0.96677,                0.88246,                0.43335,                0.28543,                0.83056,             0.00010416,             0.00010416,             0.00010416
                     65,                0.49651,                 0.3797,                0.91305,                0.93721,                0.92538,                0.96754,                0.88405,                0.42406,                0.27966,                0.82595,             0.00010392,             0.00010392,             0.00010392
