                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8591,                0.77853,                 1.1568,                0.75005,                0.77248,                0.83035,                0.67168,                 0.7849,                0.57987,                 1.0086,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                0.90415,                0.73529,                 1.1564,                0.85036,                0.77561,                0.85303,                0.69259,                0.77099,                0.53871,                0.99335,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                0.88041,                0.68035,                 1.1273,                0.87261,                 0.7833,                0.86714,                0.70351,                0.76429,                0.52927,                 0.9882,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                0.88599,                0.67335,                 1.1327,                0.87033,                0.79546,                0.87558,                0.71342,                 0.7596,                0.51867,                 0.9865,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                0.79418,                0.61555,                 1.0731,                0.86946,                0.80494,                0.87955,                 0.7155,                0.74743,                0.50517,                0.97751,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                0.83813,                0.63558,                 1.0882,                0.87456,                0.79714,                0.89107,                0.73044,                0.73706,                0.49274,                0.96981,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                0.80649,                0.61522,                 1.0624,                0.88682,                0.82505,                0.90279,                0.73543,                0.73071,                0.46686,                0.96767,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                0.77555,                0.59367,                 1.0399,                0.88581,                0.84217,                0.90615,                0.74633,                0.71368,                 0.4628,                0.96095,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                0.79553,                0.55529,                 1.0642,                0.88573,                0.84878,                0.90976,                0.74568,                0.71243,                0.48161,                0.96283,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                0.76684,                0.59608,                 1.0732,                0.89277,                0.84819,                0.91909,                0.76093,                0.70357,                0.47167,                 0.9582,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                0.77205,                0.57195,                 1.0488,                0.89871,                0.85576,                 0.9177,                0.75737,                0.71086,                0.46892,                0.95757,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                0.74986,                0.55331,                 1.0432,                0.89582,                0.87098,                0.92316,                0.76199,                0.69678,                0.46782,                0.94803,             0.00010074,             0.00010074,             0.00010074
                     13,                 0.7583,                0.55831,                 1.0445,                0.89415,                0.86857,                 0.9288,                0.77071,                 0.6845,                0.45153,                0.93801,             0.00010486,             0.00010486,             0.00010486
                     14,                0.76041,                0.55284,                 1.0312,                0.92903,                0.85165,                0.93197,                0.78688,                 0.6667,                0.44379,                0.92909,             0.00010368,             0.00010368,             0.00010368
                     15,                0.70686,                0.53375,                 1.0186,                0.88247,                0.87238,                0.93428,                0.78809,                0.65803,                0.43537,                0.92565,             0.00010251,             0.00010251,             0.00010251
                     16,                0.71651,                0.52992,                 1.0007,                0.88724,                0.89013,                0.94127,                0.79102,                0.64539,                0.42399,                 0.9215,             0.00010133,             0.00010133,             0.00010133
                     17,                0.72569,                0.55193,                 1.0284,                0.91483,                0.87292,                0.94245,                0.78748,                0.63991,                0.41116,                0.92049,             0.00010015,             0.00010015,             0.00010015
                     18,                0.73335,                 0.5382,                 1.0068,                0.90988,                0.89206,                0.94403,                0.79542,                0.62851,                0.39851,                0.91488,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     19,                0.69858,                0.50822,                 0.9885,                0.90624,                0.89745,                 0.9404,                0.79708,                0.61161,                0.38062,                0.90628,             9.7794e-05,             9.7794e-05,             9.7794e-05
